Gene,GeneName,Type,miRNA,Phenotypes
Dgkd,Diacylglycerol kinase delta,Kinase,miR-29a-3p; let-7b-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p; miR-486a-3p; miR-29c-3p; miR-486b-3p,decreased lean body mass
Dhx40,Probable ATP-dependent RNA helicase DHX40,Enzyme,miR-21a-3p; miR-145a-3p,increased total body fat amount
Dicer1,Endoribonuclease Dicer,Enzyme,miR-3470b; miR-301a-3p; miR-152-3p; miR-29a-3p; miR-10a-3p; miR-148a-3p; miR-21a-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-21b; miR-130b-3p; miR-148b-3p; miR-29c-3p,decreased lean body mass
Dis3,Exosome complex exonuclease RRP44,Enzyme,miR-203-3p,impaired glucose tolerance
Dlg2,Disks large homolog 2,Kinase,miR-672-3p; miR-29a-3p; miR-200b-3p; miR-152-3p; miR-93-3p; miR-145a-3p; miR-23b-3p; miR-148a-3p; miR-374b-3p; miR-23a-3p; miR-200c-3p; miR-206-3p; miR-429-3p; miR-29c-3p; miR-148b-3p; miR-375-3p; let-7a-2-3p,increased lean body mass
Dlg4,Disks large homolog 4,Kinase,miR-206-3p,increased lean body mass
Dlgap2,Disks large-associated protein 2,,miR-23b-3p; let-7g-3p; miR-23a-3p,increased fasting circulating glucose level
Dlgap4,Disks large-associated protein 4,,miR-3969; miR-30b-3p,increased lean body mass
Dlk1,Protein delta homolog 1,,miR-672-3p; miR-143-3p; miR-27a-3p; miR-191-3p; miR-27b-3p,increased total body fat amount
Dmd,Dystrophin,,let-7a-2-3p,increased lean body mass
Dmp1,Dentin matrix acidic phosphoprotein 1,,miR-10a-3p,increased total body fat amount
Dmwd,Dystrophia myotonica WD repeat-containing protein,,miR-200a-3p; miR-141-3p; miR-211-3p,increased fasting circulating glucose level
Dmxl2,DmX-like protein 2,,miR-672-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-21b; miR-27a-3p; miR-27b-3p,increased total body fat amount
Dnajb3,DnaJ homolog subfamily B member 3,,miR-743b-3p,increased fasting circulating glucose level
