Gene,Gene Name,Phenotype,Parameter
Ism1,Isthmin-1,decreased lean body mass,Lean/Body weight
Klhdc2,Kelch domain-containing protein 2,increased total body fat amount,Fat/Body weight
Kbtbd8,Kelch repeat and BTB domain-containing protein 8,increased total body fat amount,Fat mass
Klhl22,Kelch-like protein 22,decreased lean body mass,Lean mass
Klhl42,Kelch-like protein 42,increased lean body mass,Lean/Body weight
Krt75,"Keratin, type II cytoskeletal 75",increased total body fat amount,Fat mass
Kptn,KICSTOR complex protein kaptin,increased body weight,Body Weight
Slc25a30,Kidney mitochondrial carrier protein 1,increased lean body mass,Lean mass
Kif21b,Kinesin-like protein KIF21B,increased lean body mass,Lean Mass
Kiss1r,KiSS-1 receptor,increased total body fat amount,Fat mass
Lefty1,Left-right determination factor 1,increased total body fat amount,Fat mass
Lmod3,Leiomodin-3,increased total body fat amount,Fat mass
Lepr,Leptin receptor gene-related protein,increased total body fat amount,Fat/Body weight
Letmd1,LETM1 domain-containing protein 1,increased total body fat amount,Fat/Body weight
Lingo2,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2,increased lean body mass,Lean mass
Lrrk1,Leucine-rich repeat serine/threonine-protein kinase 1,increased total body fat amount,Fat mass
Lrrc41,Leucine-rich repeat-containing protein 41,increased lean body mass,Lean/Body weight
Lst1,Leukocyte-specific transcript 1 protein,increased lean body mass,Lean mass
Spn,Leukosialin,increased total body fat amount,Fat mass
Gulo,L-gulonolactone oxidase,decreased lean body mass,Lean/Body weight
Cidec,Lipid transferase CIDEC,increased lean body mass,Lean/Body weight
Lpp,Lipoma-preferred partner homolog,abnormal lean body mass,Lean mass NMR
Ldha,L-lactate dehydrogenase A chain,increased lean body mass,Lean Mass
Acsl4,Long-chain-fatty-acid--CoA ligase 4,increased total body fat amount,Fat Mass
Ly6g5b,Lymphocyte antigen 6 complex locus protein G5b,increased total body fat amount,Fat mass
Ly86,Lymphocyte antigen 86,increased lean body mass,Lean mass
Kdm4c,Lysine-specific demethylase 4C,increased lean body mass,Lean/Body weight
